174
Question 1,21647892,Out of 2
,0,0
,1,2
,10,0
,2,0
,,
Question 2,21647893,Out of 2
,10,0
,13,0
,15,0
,16,0
,19,0
,2,0
,4,0
,5,0
,8,0
,9,2
,,
Question 3,21647894,Out of 2
,1,0
,10,2
,11,0
,16,0
,2,0
,3,0
,6,0
,7,0
,9,0
,,
Question 4,21647895,Out of 2
,0,0
,1,0
,11,0
,12,2
,13,0
,15,0
,16,0
,2,0
,5,0
,7,0
,9,0
,,
Question 5,21647896,Out of 2
,1,0
,15,0
,16,0
,17,2
,18,0
,2,0
,20,0
,5,0
,8,0
,9,0
,,
Question 6,21647897,Out of 2
,1,0
,12,0
,13,0
,14,2
,15,0
,17,0
,2,0
,4,0
,5,0
,6,0
,8,0
,,
Question 7,21647898,Out of 2
,1,0
,10,0
,2,0
,3,2
,4,0
,8,0
,,
Question 8,21647899,Out of 2
,1,0
,13,0
,14,0
,15,0
,17,0
,3,0
,4,0
,5,0
,6,2
,7,0
,8,0
,,
Question 9,21647900,Out of 2
,1,0
,11,0
,15,0
,3,0
,4,2
,5,0
,6,0
,7,0
,,
Question 10,21647901,Out of 2
,10,0
,11,0
,15,0
,18,0
,19,0
,2,0
,20,2
,21,0
,5,0
,,
